Unnamed: 0,Player,Debut,Age,G,MP,FG%,3P%,FT%,PER GAME MP,PER GAME PTS,PER GAME TRB,PER GAME AST,PER GAME STL,PER GAME BLK,PER GAME TOV,Season,All-League Team,Rookie of the Year,Defensive Award Winner,MVP Winner,Finals MVP Winner,success,Success_Class,high_success
3477,quinn buckner,197610210MIL,22,79,2095,0.434,0.0,0.539,26.5,8.6,3.3,4.7,2.4,0.3,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3479,don buse,197610210IND,26,81,2947,0.416,0.0,0.786,36.4,8.0,3.3,8.5,3.5,0.2,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3481,ml carr,197610220KCK,26,82,2643,0.476,0.0,0.735,32.2,13.3,7.7,2.2,2.0,0.7,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3486,adrian dantley,197610210MIL,21,77,2816,0.52,0.0,0.818,36.6,20.3,7.6,1.9,1.2,0.2,0.0,1976-1977,1,1,0,0,0,2,High Success,1
3496,alex english,197610210MIL,23,60,648,0.477,0.0,0.767,10.8,5.2,2.8,0.4,0.3,0.3,0.0,1976-1977,1,0,0,0,0,1,Low Success,0
3497,julius erving,197610220PHI,26,82,2940,0.499,0.0,0.777,35.9,21.6,8.5,3.7,1.9,1.4,0.0,1976-1977,1,0,1,1,0,3,High Success,1
3501,mike gale,197610220PHI,26,82,2598,0.468,0.0,0.82,31.7,10.3,3.3,5.8,2.3,0.6,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3503,george gervin,197610220PHI,24,82,2705,0.544,0.0,0.833,33.0,23.1,5.5,2.9,1.3,1.3,0.0,1976-1977,1,0,0,0,0,1,Low Success,0
3504,artis gilmore,197610220CLE,27,82,2877,0.522,0.0,0.66,35.1,18.6,13.0,2.4,0.5,2.5,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3515,dennis johnson,197610240SEA,22,81,1667,0.504,0.0,0.624,20.6,9.2,3.7,1.5,1.5,0.7,0.0,1976-1977,1,0,1,0,1,3,High Success,1
3516,bobby jones,197610220IND,25,82,2419,0.57,0.0,0.717,29.5,15.1,8.3,3.2,2.3,2.0,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3517,caldwell jones,197610220PHI,26,82,2023,0.507,0.0,0.552,24.7,6.0,8.1,1.1,0.5,2.4,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3520,wil jones,197610210IND,29,80,2709,0.43,0.0,0.744,33.9,13.0,7.6,2.4,1.3,1.0,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3530,maurice lucas,197610230POR,24,79,2863,0.466,0.0,0.765,36.2,20.2,11.4,2.9,1.1,0.7,0.0,1976-1977,1,0,1,0,0,2,High Success,1
3531,moses malone,197610210MIL,21,82,2506,0.48,0.0,0.693,30.6,13.2,13.1,1.1,0.8,2.2,0.0,1976-1977,1,0,1,1,1,4,High Success,1
3534,ted mcclain,197610220IND,30,72,2002,0.445,0.0,0.744,27.8,8.2,3.2,4.5,1.5,0.2,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3541,robert parish,197610220GSW,23,77,1384,0.503,0.0,0.708,18.0,9.1,7.1,1.0,0.7,1.2,0.0,1976-1977,1,0,0,0,0,1,Low Success,0
3547,dan roundfield,197610210IND,23,61,1645,0.466,0.0,0.686,27.0,13.9,8.5,1.1,1.0,2.1,0.0,1976-1977,1,0,1,0,0,2,High Success,1
3549,lonnie shelton,197610210NYK,21,82,2104,0.476,0.0,0.707,25.7,11.6,7.7,1.8,1.5,1.2,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3556,brian taylor,197610220KCK,25,72,2488,0.504,0.0,0.818,34.6,17.0,3.3,4.4,2.8,0.2,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3557,fatty taylor,197610220IND,30,79,1548,0.42,0.0,0.569,19.6,3.8,2.7,3.6,1.7,0.1,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
3560,david thompson,197610220IND,22,82,3001,0.507,0.0,0.766,36.6,25.9,4.1,4.1,1.4,0.6,0.0,1976-1977,1,0,0,0,0,1,Low Success,0
3574,willie wise,197610220IND,29,75,1403,0.462,0.0,0.651,18.7,8.2,3.4,1.9,0.8,0.2,0.0,1976-1977,0,0,1,0,0,1,Low Success,0
